run_id,workflow_name,status,conclusion,created_at,updated_at,wall_clock_seconds,wall_clock_minutes,exec_seconds,exec_minutes,queue_seconds,queue_minutes,first_job_started,last_job_completed,head_branch,event,pr_number,label_group,base_branch
22578696760,PE-CI,completed,failure,2026-03-02T13:44:26Z,2026-03-02T14:05:17Z,1251,20.9,235,3.9,1016,16.9,2026-03-02T14:01:22Z,2026-03-02T14:05:17Z,copilot/update-openapi-generator-version,pull_request,6056,mz-autotest+pe-autotest,develop
23047977999,PE-CI,completed,cancelled,2026-03-13T11:04:43Z,2026-03-13T11:09:40Z,297,5.0,268,4.5,28,0.5,2026-03-13T11:05:11Z,2026-03-13T11:09:39Z,copilot/implement-unit-test-improvements,pull_request,6107,mz-autotest+pe-autotest,develop
22577616014,PE-CI,completed,failure,2026-03-02T13:14:28Z,2026-03-02T13:38:07Z,1419,23.6,1414,23.6,4,0.1,2026-03-02T13:14:32Z,2026-03-02T13:38:06Z,copilot/update-copilot-instructions,pull_request,5736,mz-autotest+pe-autotest,develop
23484653918,PE-CI,completed,success,2026-03-24T10:25:25Z,2026-03-24T12:37:39Z,7934,132.2,7929,132.2,4,0.1,2026-03-24T10:25:29Z,2026-03-24T12:37:38Z,feat/gradle931,pull_request,6127,mz-autotest+pe-autotest,develop
22759281886,PE-CI,completed,success,2026-03-06T10:22:45Z,2026-03-06T12:28:55Z,7570,126.2,7563,126.0,6,0.1,2026-03-06T10:22:51Z,2026-03-06T12:28:54Z,t-babelfish-develop-XE-21104-webservices-concatenated-wsdl,pull_request,6075,mz-autotest+pe-autotest,develop
22612317056,PE-CI,completed,cancelled,2026-03-03T07:10:36Z,2026-03-03T07:11:26Z,50,0.8,25,0.4,24,0.4,2026-03-03T07:11:00Z,2026-03-03T07:11:25Z,copilot/update-copilot-instructions,pull_request,5736,mz-autotest+pe-autotest,develop
22895315375,PE-CI,completed,cancelled,2026-03-10T09:14:53Z,2026-03-10T09:14:55Z,2,0.0,0,0.0,1,0.0,2026-03-10T09:14:54Z,2026-03-10T09:14:54Z,fix/amazon-sqs-null-safety,pull_request,6087,mz-autotest+pe-autotest,develop
23175076709,PE-CI,completed,success,2026-03-17T02:07:23Z,2026-03-17T04:06:04Z,7121,118.7,7116,118.6,4,0.1,2026-03-17T02:07:27Z,2026-03-17T04:06:03Z,t-darkside-develop-XE-19114-system-log-performance,pull_request,5990,mz-autotest+pe-autotest,develop
23749485708,PE-CI,completed,success,2026-03-30T14:16:30Z,2026-03-30T15:54:10Z,5860,97.7,5853,97.5,5,0.1,2026-03-30T14:16:35Z,2026-03-30T15:54:08Z,DOT-3301-playwright-base-image,pull_request,6192,mz-autotest+pe-autotest,develop
22569420326,PE-CI,completed,failure,2026-03-02T09:21:41Z,2026-03-02T09:46:16Z,1475,24.6,1470,24.5,4,0.1,2026-03-02T09:21:45Z,2026-03-02T09:46:15Z,copilot/update-copilot-instructions,pull_request,5736,mz-autotest+pe-autotest,develop
