run_id,workflow_name,status,conclusion,created_at,updated_at,wall_clock_seconds,wall_clock_minutes,exec_seconds,exec_minutes,queue_seconds,queue_minutes,first_job_started,last_job_completed,head_branch,event,pr_number,label_group,base_branch
23594733936,MZ-CI,completed,cancelled,2026-03-26T12:39:20Z,2026-03-26T12:40:08Z,48,0.8,44,0.7,4,0.1,2026-03-26T12:39:24Z,2026-03-26T12:40:08Z,fix/cyclonedx-bom-config-resolution,pull_request,6178,mz-autotest,develop
22990221511,MZ-CI,completed,success,2026-03-12T06:54:17Z,2026-03-12T08:31:23Z,5826,97.1,5821,97.0,4,0.1,2026-03-12T06:54:21Z,2026-03-12T08:31:22Z,bugfix/t-avengers-XE-23357-playwrigth-ecs-inspector-failed-with-element-read-only-develop,pull_request,6101,mz-autotest,develop
22686196971,MZ-CI,completed,failure,2026-03-04T19:43:58Z,2026-03-04T21:07:42Z,5024,83.7,5011,83.5,12,0.2,2026-03-04T19:44:10Z,2026-03-04T21:07:41Z,gitattributes-codeowners,pull_request,6047,mz-autotest,develop
22947756392,MZ-CI,completed,success,2026-03-11T10:19:43Z,2026-03-11T11:51:51Z,5528,92.1,5524,92.1,3,0.1,2026-03-11T10:19:46Z,2026-03-11T11:51:50Z,add-core-build-gradle-to-codeowners-ignore,pull_request,6093,mz-autotest,develop
22947419561,MZ-CI,completed,success,2026-03-11T10:11:09Z,2026-03-11T10:19:39Z,510,8.5,505,8.4,4,0.1,2026-03-11T10:11:13Z,2026-03-11T10:19:38Z,add-core-build-gradle-to-codeowners-ignore,pull_request,6093,mz-autotest,develop
22849558870,MZ-CI,completed,success,2026-03-09T10:39:50Z,2026-03-09T12:07:58Z,5288,88.1,5283,88.0,4,0.1,2026-03-09T10:39:54Z,2026-03-09T12:07:57Z,t-jaws-XE-23355-topo-REST-autotest,pull_request,6082,mz-autotest,develop
23651812297,MZ-CI,completed,cancelled,2026-03-27T14:41:44Z,2026-03-27T14:44:45Z,181,3.0,155,2.6,26,0.4,2026-03-27T14:42:10Z,2026-03-27T14:44:45Z,add-claude-md,pull_request,6188,mz-autotest,develop
23651986031,MZ-CI,completed,cancelled,2026-03-27T14:45:22Z,2026-03-27T14:46:32Z,70,1.2,63,1.1,5,0.1,2026-03-27T14:45:27Z,2026-03-27T14:46:30Z,add-claude-md,pull_request,6188,mz-autotest,develop
23134039930,MZ-CI,completed,success,2026-03-16T08:14:24Z,2026-03-16T09:42:53Z,5309,88.5,5305,88.4,4,0.1,2026-03-16T08:14:28Z,2026-03-16T09:42:53Z,bugfix/t-avengers-XE-23357-playwrigth-ecs-inspector-failed-with-element-read-only-develop,pull_request,6101,mz-autotest,develop
22990221404,MZ-CI,completed,cancelled,2026-03-12T06:54:17Z,2026-03-12T06:54:18Z,1,0.0,0,0.0,0,0.0,,,bugfix/t-avengers-XE-23357-playwrigth-ecs-inspector-failed-with-element-read-only-develop,pull_request,6101,mz-autotest,develop
22994316481,MZ-CI,completed,success,2026-03-12T09:05:04Z,2026-03-13T09:15:46Z,87042,1450.7,87012,1450.2,29,0.5,2026-03-12T09:05:33Z,2026-03-13T09:15:45Z,rm-concat-copilot,pull_request,6103,mz-autotest,develop
23613786213,MZ-CI,completed,cancelled,2026-03-26T19:25:35Z,2026-03-26T20:13:22Z,2867,47.8,2835,47.2,31,0.5,2026-03-26T19:26:06Z,2026-03-26T20:13:21Z,fix/cyclonedx-bom-config-resolution,pull_request,6178,mz-autotest,develop
22720727546,MZ-CI,completed,cancelled,2026-03-05T13:44:22Z,2026-03-05T13:46:39Z,137,2.3,132,2.2,4,0.1,2026-03-05T13:44:26Z,2026-03-05T13:46:38Z,gitattributes-codeowners,pull_request,6047,mz-autotest,develop
23432211375,MZ-CI,completed,cancelled,2026-03-23T10:14:51Z,2026-03-23T10:15:09Z,18,0.3,13,0.2,4,0.1,2026-03-23T10:14:55Z,2026-03-23T10:15:08Z,test-backwards-comp-gradle-9,pull_request,6165,mz-autotest,develop
